省,市,累计,1-10,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,3-1,3-2,
吉林,,93,0,0,0,0,0,0,0,1,2,1,0,2,2,1,5,-1,4,6,8,11,12,5,6,4,9,2,1,2,1,2,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,
吉林,长春市,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-1,4,6,4,1,10,1,3,0,5,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,吉林市,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,四平市,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,辽源市,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,通化市,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,
吉林,白山市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,松原市,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,白城市,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,延边州,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,公主岭市,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
吉林,梅河口市,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
上海,,338,0,0,0,0,0,2,7,7,4,13,7,13,13,14,21,27,25,24,16,15,25,21,15,12,11,3,7,4,7,5,8,2,3,2,0,0,1,0,1,0,0,1,1,0,0,0,0,1,
上海,全部,338,0,0,0,0,0,2,7,7,4,13,7,13,13,14,21,27,25,24,16,15,25,21,15,12,11,3,7,4,7,5,8,2,3,2,0,0,1,0,1,0,0,1,1,0,0,0,0,1,
河北,,318,0,0,0,0,0,0,0,1,1,6,5,5,15,15,17,17,14,8,9,13,9,22,14,24,11,12,21,12,14,18,8,9,1,1,4,1,1,1,2,0,0,1,5,1,0,0,0,0,
河北,石家庄市,29,0,0,0,0,0,0,0,1,0,3,1,2,2,1,1,0,1,1,3,5,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
河北,唐山市,58,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,3,0,0,1,5,2,4,4,1,3,2,2,8,3,5,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,
河北,秦皇岛市,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,邯郸市,32,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,3,1,0,3,0,4,4,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
河北,邢台市,23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,4,2,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,保定市,32,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,4,0,2,0,0,4,0,1,0,3,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,张家口市,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,1,2,1,1,0,3,4,0,4,6,2,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,
河北,承德市,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,沧州市,48,0,0,0,0,0,0,0,0,1,1,0,0,3,3,4,6,1,0,0,1,0,1,2,5,0,0,4,5,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,廊坊市,30,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,2,0,1,0,1,1,1,5,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
河北,衡水市,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,,1213,0,0,0,0,0,0,5,5,33,19,42,24,45,123,132,109,62,62,63,105,66,57,48,38,26,28,25,14,14,10,7,5,4,1,1,2,28,2,0,0,0,0,0,0,0,0,1,7,
浙江,杭州市,169,0,0,0,0,0,0,1,0,5,6,15,0,5,19,18,16,13,12,8,14,9,8,1,2,2,1,2,2,3,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,宁波市,157,0,0,0,0,0,0,0,3,2,1,7,0,4,3,21,5,9,11,9,27,18,6,10,5,5,3,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
浙江,温州市,504,0,0,0,0,0,0,2,2,2,4,8,14,28,54,58,55,14,24,26,49,24,32,25,17,10,16,10,7,9,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,嘉兴市,45,0,0,0,0,0,0,0,0,3,1,4,0,3,3,2,0,2,1,0,4,4,3,5,2,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,湖州市,10,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,绍兴市,42,0,0,0,0,0,0,0,0,1,3,1,1,1,12,0,4,1,3,3,0,0,3,1,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,金华市,55,0,0,0,0,0,0,0,0,1,1,1,2,2,6,7,7,7,0,2,4,4,3,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,衢州市,21,0,0,0,0,0,0,0,0,2,0,1,2,0,3,2,2,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,舟山市,10,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,台州市,146,0,0,0,0,0,0,1,0,17,2,1,1,0,18,24,17,14,5,9,6,7,2,5,4,5,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浙江,丽水市,25,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
浙江,省十里丰监狱,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,
浙江,境外输入,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,,990,0,0,0,0,0,0,0,1,14,24,21,10,36,46,48,37,60,43,68,72,50,61,74,68,46,51,29,29,22,24,16,12,11,9,4,1,1,1,0,0,0,0,0,1,0,0,0,0,
安徽,合肥市,174,0,0,0,0,0,0,0,1,5,4,3,0,3,13,10,11,9,0,16,6,12,11,11,13,8,11,3,7,4,5,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
安徽,芜湖市,34,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,0,1,1,0,5,2,3,1,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
安徽,蚌埠市,160,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,7,1,10,11,6,5,16,24,11,16,11,8,7,5,3,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,淮南市,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,1,4,0,2,7,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,马鞍山市,38,0,0,0,0,0,0,0,0,0,4,3,0,3,1,3,0,8,5,1,0,2,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
安徽,淮北市,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,3,3,3,5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,铜陵市,29,0,0,0,0,0,0,0,0,0,3,0,0,6,0,1,4,2,0,2,1,0,1,2,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,安庆市,77,0,0,0,0,0,0,0,0,1,3,1,3,0,6,4,0,13,6,4,8,1,4,6,5,4,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,黄山市,9,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,滁州市,13,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,阜阳市,155,0,0,0,0,0,0,0,0,2,5,3,0,11,2,5,10,9,12,6,14,5,11,10,8,5,7,7,6,4,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,宿州市,41,0,0,0,0,0,0,0,0,0,0,2,1,0,6,1,0,2,2,7,2,1,1,2,1,0,3,2,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,六安市,69,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,1,4,0,7,10,4,2,5,10,3,3,2,0,1,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,亳州市,108,0,0,0,0,0,0,0,0,1,3,2,0,2,7,5,0,5,5,9,9,10,8,6,9,6,5,0,5,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,池州市,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,4,1,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,宣城市,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
安徽,宿松县,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,,1018,0,0,0,0,0,0,1,3,20,19,26,31,43,78,56,55,57,74,58,72,68,50,61,31,35,41,33,34,22,20,13,3,2,1,1,2,1,2,3,0,0,0,1,0,1,0,0,0,
湖南,长沙市,242,0,0,0,0,0,0,1,0,7,0,10,4,2,22,11,11,18,26,13,23,16,15,11,6,9,8,6,4,5,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,株洲市,80,0,0,0,0,0,0,0,0,1,0,2,2,2,6,5,1,3,3,1,8,4,3,5,2,10,3,7,3,4,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
湖南,湘潭市,36,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,3,3,3,2,2,1,1,3,0,3,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
湖南,衡阳市,48,0,0,0,0,0,0,0,0,0,3,0,1,3,10,3,5,1,4,2,3,4,4,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,邵阳市,102,0,0,0,0,0,0,0,0,0,2,0,6,3,8,10,7,5,8,2,4,13,6,9,3,1,2,2,3,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,岳阳市,156,0,0,0,0,0,0,0,0,3,2,1,1,10,9,3,8,8,8,17,13,6,4,14,4,4,9,10,12,2,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,常德市,82,0,0,0,0,0,0,0,0,0,3,4,5,7,7,4,7,2,3,3,5,6,6,2,2,0,6,1,2,2,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,
湖南,张家界市,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,益阳市,60,0,0,0,0,0,0,0,0,0,4,0,3,3,4,3,3,4,3,3,5,5,1,2,1,2,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
湖南,郴州市,39,0,0,0,0,0,0,0,0,1,0,2,3,1,0,3,2,1,5,3,1,2,1,4,2,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,永州市,44,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,2,2,4,4,0,4,2,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
湖南,怀化市,40,0,0,0,0,0,0,0,3,0,2,3,3,5,2,5,3,2,3,1,3,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,娄底市,76,0,0,0,0,0,0,0,0,3,2,0,2,2,4,3,4,6,3,6,5,5,6,2,6,5,2,3,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
湖南,湘西自治州,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,,1350,0,0,0,0,1,13,12,6,21,25,18,50,42,53,70,82,127,84,79,114,73,74,74,57,45,31,26,42,22,20,33,22,6,6,3,1,1,6,3,3,2,0,0,1,1,0,1,0,
广东,广州市,346,0,0,0,0,0,0,2,3,2,7,0,25,12,12,16,27,31,38,14,27,21,18,29,14,6,9,4,6,4,1,7,3,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,
广东,韶关市,10,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
